Rank;Player;POS
1;Christian McCaffrey;RB1
2;Dalvin Cook;RB2
3;Derrick Henry;RB3
4;Alvin Kamara;RB4
5;Ezekiel Elliott;RB5
6;Nick Chubb;RB6
7;Aaron Jones Sr.;RB7
8;Davante Adams;WR1
9;Jonathan Taylor;RB8
10;Saquon Barkley;RB9
11;Tyreek Hill;WR2
12;Travis Kelce;TE1
13;Patrick Mahomes II;QB1
14;Najee Harris;RB10
15;Austin Ekeler;RB11
16;Stefon Diggs;WR3
17;Antonio Gibson;RB12
18;DK Metcalf;WR4
19;Joe Mixon;RB13
20;DeAndre Hopkins;WR5
21;Calvin Ridley;WR6
22;Clyde Edwards-Helaire;RB14
23;A.J. Brown;WR7
24;Darren Waller;TE2
25;Justin Jefferson;WR8
26;Josh Allen;QB2
27;David Montgomery;RB15
28;Josh Jacobs;RB16
29;Chris Carson ;RB17
30;George Kittle;TE3
31;Keenan Allen;WR9
32;James Robinson ;RB18
33;Terry McLaurin;WR10
34;Mike Evans;WR11
35;Miles Sanders;RB19
36;CeeDee Lamb;WR12
37;Kyler Murray;QB3
38;Allen Robinson II;WR13
39;D'Andre Swift;RB20
40;Lamar Jackson;QB4
41;Chris Godwin;WR14
42;Robert Woods;WR15
43;Julio Jones;WR16
44;Amari Cooper;WR17
45;Myles Gaskin;RB21
46;Aaron Rodgers;QB5
47;Adam Thielen;WR18
48;Kyle Pitts;TE4
49;Kareem Hunt;RB22
50;Russell Wilson;QB6
51;Cooper Kupp;WR19
52;Mike Davis;RB23
53;Dak Prescott;QB7
54;Mark Andrews;TE5
55;Tyler Lockett;WR20
56;Raheem Mostert;RB24
57;DJ Moore;WR21
58;Darrell Henderson Jr.;RB25
59;Justin Herbert;QB8
60;Diontae Johnson;WR22
61;Javonte Williams;RB26
62;Chase Edmonds;RB27
63;Damien Harris;RB28
64;Gus Edwards;RB29
65;T.J. Hockenson;TE6
66;Brandon Aiyuk;WR23
67;Chase Claypool;WR24
68;Tom Brady;QB9
69;Odell Beckham Jr.;WR25
70;Melvin Gordon;RB30
71;Ja'Marr Chase;WR26
72;Tee Higgins;WR27
73;Michael Thomas ;WR28
74;Kenny Golladay;WR29
75;Jerry Jeudy;WR30
76;Ronald Jones;RB31
77;JuJu Smith-Schuster;WR31
78;Trey Sermon;RB32
79;Leonard Fournette;RB33
80;Courtland Sutton;WR32
81;Matthew Stafford;QB10
82;Logan Thomas ;TE7
83;DeVonta Smith;WR33
84;Robbie Chosen;WR34
85;Ryan Tannehill;QB11
86;Robert Tonyan;TE8
87;Deebo Samuel Sr.;WR35
88;Antonio Brown ;WR36
89;AJ Dillon;RB34
90;Zack Moss;RB35
91;Tyler Boyd;WR37
92;James Conner;RB36
93;Noah Fant;TE9
94;DJ Chark Jr.;WR38
95;Michael Carter;RB37
96;Jalen Hurts;QB12
97;Brandin Cooks;WR39
98;Jarvis Landry;WR40
99;Devin Singletary;RB38
100;Dallas Goedert;TE10
101;Rob Gronkowski;TE11
102;Corey Davis ;WR41
104;Laviska Shenault Jr.;WR42
105;Sony Michel;RB39
107;Joe Burrow;QB13
109;Kenyan Drake ;RB40
110;Michael Pittman Jr.;WR43
111;Jamaal Williams;RB41
112;David Johnson;RB42
113;Mike Gesicki;TE12
114;Tyler Higbee;TE13
