Rank;Player;POS
1;Saquon Barkley;RB1
2;Christian McCaffrey;RB2
3;Alvin Kamara;RB3
4;Ezekiel Elliott;RB4
5;DeAndre Hopkins;WR1
6;James Conner;RB5
7;Le'Veon Bell;RB6
8;Davante Adams;WR2
9;David Johnson;RB7
10;Nick Chubb;RB8
11;Todd Gurley;RB9
12;Patrick Mahomes II;QB1
13;Michael Thomas;WR3
14;Julio Jones;WR4
15;Dalvin Cook;RB10
16;Tyreek Hill;WR5
17;JuJu Smith-Schuster;WR6
18;Odell Beckham Jr.;WR7
19;Joe Mixon;RB11
20;Travis Kelce;TE1
21;Leonard Fournette;RB12
22;Mike Evans;WR8
23;Antonio Brown;WR9
24;Adam Thielen;WR10
25;Damien Williams;RB13
26;Keenan Allen;WR11
27;Kerryon Johnson;RB14
28;Aaron Jones Sr.;RB15
29;Zach Ertz;TE2
30;Chris Carson ;RB16
31;George Kittle;TE3
32;Josh Jacobs;RB17
33;Devonta Freeman;RB18
34;Amari Cooper;WR12
35;Stefon Diggs;WR13
36;Derrick Henry;RB19
37;Deshaun Watson;QB2
38;David Montgomery;RB20
39;Marlon Mack;RB21
40;Brandin Cooks;WR14
41;Mark Ingram;RB22
42;Robert Woods;WR15
43;Julian Edelman;WR16
44;Sony Michel;RB23
45;T.Y. Hilton;WR17
46;Tyler Lockett;WR18
47;Aaron Rodgers;QB3
48;Melvin Gordon;RB24
49;Kenny Golladay;WR19
50;Chris Godwin;WR20
51;Cooper Kupp;WR21
52;Phillip Lindsay;RB25
53;Calvin Ridley;WR22
54;Baker Mayfield;QB4
55;O.J. Howard;TE4
56;Tevin Coleman;RB26
57;Tyler Boyd;WR23
58;Austin Ekeler;RB27
59;Mike Williams;WR24
60;A.J. Green ;WR25
61;Evan Engram;TE5
62;Matt Ryan;QB5
63;Alshon Jeffery ;WR26
64;James White;RB28
65;Josh Gordon;WR27
66;Hunter Henry;TE6
67;DJ Moore;WR28
68;Miles Sanders;RB29
69;Jarvis Landry;WR29
70;Duke Johnson Jr.;RB30
71;Drew Brees;QB6
72;Carson Wentz;QB7
73;Derrius Guice ;RB31
74;Kenyan Drake;RB32
75;Jared Cook;TE7
76;Tarik Cohen;RB33
77;Allen Robinson II;WR30
78;Robbie Chosen;WR31
79;Jared Goff;QB8
80;Dede Westbrook;WR32
81;William Fuller;WR33
82;Russell Wilson;QB9
83;Latavius Murray;RB34
85;Vance McDonald;TE8
86;Sammy Watkins;WR34
87;Jordan Howard;RB35
88;Emmanuel Sanders;WR35
89;Cam Newton ;QB10
90;Christian Kirk;WR36
91;Sterling Shepard;WR37
92;Corey Davis;WR38
93;Marvin Jones Jr. ;WR39
94;LeSean McCoy;RB36
95;Eric Ebron ;TE9
96;Ben Roethlisberger ;QB11
97;Matt Breida;RB37
98;Curtis Samuel;WR40
99;Devin Singletary;RB38
100;Rashaad Penny ;RB39
101;David Njoku;TE10
102;Darrell Henderson Jr.;RB40
103;Jameis Winston;QB12
104;Larry Fitzgerald;WR41
105;Tom Brady;QB13
106;Lamar Jackson;QB14
107;Peyton Barber;RB41
108;Kyler Murray;QB15
109;Dante Pettis;WR42
110;Kareem Hunt;RB42
112;Royce Freeman;RB43
