Rank;Player;POS
251;Donovan Peoples-Jones;WR81
253;Kyle Rudolph;TE28
254;Corey Davis;WR82
255;Rex Burkhead;RB73
256;Randall Cobb;WR83
257;A.J. Green;WR84
258;Jimmy Garoppolo;QB35
259;Ke'Shawn Vaughn;RB74
260;Cameron Brate;TE29
261;Van Jefferson;WR85
262;Hassan Haskins;RB75
263;Brevin Jordan;TE30
265;Damien Williams;RB76
267;Matt Breida;RB77
268;Boston Scott;RB78
269;Kendrick Bourne;WR86
270;Drew Stanton;QB36
271;D'Ernest Johnson;RB79
272;Corey Clement;RB80
273;Algernon Brown;RB81
274;Jake Wieneke;WR87
275;Desmond Ridder;QB37
276;Davon Grayson;WR88
277;Joshua Kelley;RB82
278;Lenard Tillery;RB83
279;Terrell Sinkfield;WR89
280;Malik Willis;QB38
281;Rajion Neal;RB84
282;Dominick Wood-Anderson;TE31
283;Vance McDonald;TE32
285;I'Tavius Mathers;RB85
286;Jake Kumerow;WR90
287;Vincent Testaverde;QB39
288;Paxton Lynch;QB40
289;Jaylen Warren;RB86
291;Senorise Perry;RB87
292;Alex Tanney;QB41
293;Samaje Perine;RB88
294;Adam Prentice;RB89
295;Mike Weber;RB90
296;Jordan Mason;RB91
297;Racey McMath;WR91
298;Julian Edelman;WR92
299;Braxton Berrios;WR93
300;Zach Line;RB92
301;Mo Alie-Cox;TE33
302;Josh McCown;QB42
303;Laviska Shenault Jr.;WR94
304;Jimmy Graham;TE34
305;Zay Jones;WR95
306;T.J. Simmons;WR96
307;Devin Duvernay;WR97
308;Ryan Willis;QB43
309;Wilton Speight;QB44
311;Kehinde Oginni;TE35
312;David Fluellen;RB93
313;Sterling Shepard;WR98
314;Darren Sproles;RB94
315;Chris Evans;RB95
316;Leroy Watson;TE36
317;Quez Watkins;WR99
318;Chris Streveler;QB45
319;J.T. Barrett;QB46
320;Marquez Callaway;WR100
323;Curtis Samuel;WR101
324;Kyren Williams;RB96
325;C.J. Uzomah;TE37
326;Zack Moss;RB97
327;Kyle Philips;WR102
328;Drew Lock;QB47
329;Jonnu Smith;TE38
330;Terrace Marshall Jr.;WR103
331;Byron Pringle;WR104
332;Daniel Bellinger;TE39
333;William Fuller;WR105
334;Kyle Juszczyk;RB98
335;Jamison Crowder;WR106
336;Cedrick Wilson Jr.;WR107
337;Olamide Zaccheaus;WR108
338;Nelson Agholor;WR109
339;Trey Sermon;RB99
340;T.Y. Hilton;WR110
341;Velus Jones Jr.;WR111
342;Adam Trautman;TE40
343;Bryan Edwards;WR112
