Rank;Player;POS
1;Todd Gurley;RB1
2;Le'Veon Bell ;RB2
3;David Johnson;RB3
4;Ezekiel Elliott;RB4
5;Antonio Brown;WR1
6;Saquon Barkley;RB5
7;Alvin Kamara;RB6
8;Leonard Fournette;RB7
9;Kareem Hunt;RB8
10;DeAndre Hopkins;WR2
11;Melvin Gordon;RB9
12;dell Beckham Jr.;WR3
13;Dalvin Cook;RB10
14;Julio Jones;WR4
15;Christian McCaffrey;RB11
16;Michael Thomas;WR5
17;Devonta Freeman;RB12
18;Davante Adams;WR6
19;Keenan Allen;WR7
20;Jordan Howard;RB13
21;Rob Gronkowski;TE1
22;A.J. Green ;WR8
23;Joe Mixon;RB14
24;Aaron Rodgers;QB1
25;Mike Evans;WR9
26;LeSean McCoy;RB15
27;Tyreek Hill;WR10
28;Travis Kelce;TE2
29;Stefon Diggs;WR11
30;T.Y. Hilton;WR12
31;Alex Collins ;RB16
32;Adam Thielen;WR13
33;Kenyan Drake;RB17
34;Amari Cooper;WR14
35;Derrick Henry;RB18
36;Deshaun Watson;QB2
37;Jay Ajayi ;RB19
38;Doug Baldwin;WR15
39;Zach Ertz;TE3
40;Royce Freeman;RB20
41;JuJu Smith-Schuster;WR16
42;Larry Fitzgerald;WR17
43;Jarvis Landry;WR18
44;Tom Brady;QB3
45;Lamar Miller;RB21
46;Brandin Cooks;WR19
47;Demaryius Thomas ;WR20
48;Russell Wilson;QB4
49;Jimmy Graham;TE4
50;Josh Gordon ;WR21
51;Mark Ingram II ;RB22
52;Allen Robinson II;WR22
53;Marvin Jones Jr. ;WR23
54;Golden Tate;WR24
55;Chris Hogan;WR25
56;Cam Newton ;QB5
57;Marshawn Lynch ;RB23
58;Carlos Hyde;RB24
59;Greg lsen;TE5
60;Drew Brees;QB6
61;Dion Lewis;RB25
62;Kerryon Johnson ;RB26
63;Tevin Coleman;RB27
64;Marquise Goodwin;WR26
65;Corey Davis;WR27
66;Evan Engram;TE6
67;Jamaal Williams;RB28
68;Michael Crabtree;WR28
69;Rex Burkhead;RB29
70;Carson Wentz;QB7
71;Julian Edelman ;WR29
72;Sony Michel;RB30
73;Alshon Jeffery;WR30
74;Kyle Rudolph;TE7
75;Emmanuel Sanders ;WR31
76;Delanie Walker ;TE8
77;William Fuller V ;WR32
78;Kirk Cousins;QB8
79;Rashaad Penny;RB31
80;Sammy Watkins;WR33
81;Trey Burton ;TE9
82;Chris Carson;RB32
83;Andrew Luck;QB9
84;Jordy Nelson;WR34
85;Devin Funchess;WR35
86;Robert Woods;WR36
87;Cooper Kupp;WR37
88;Jordan Reed ;TE10
89;Isaiah Crowell ;RB33
90;Tarik Cohen;RB34
91;Matthew Stafford;QB10
92;Chris Thompson;RB35
93;Ben Roethlisberger;QB11
94;Jimmy Garoppolo;QB12
95;Robbie Chosen;WR38
96;Marlon Mack;RB36
97;Peyton Barber;RB37
98;Pierre Garcon ;WR39
99;Ronald Jones;RB38
100;Matt Ryan;QB13
101;Philip Rivers;QB14
102;Adrian Peterson;RB39
103;Nelson Agholor;WR40
104;Randall Cobb;WR41
105;Jamison Crowder;WR42
106;Duke Johnson Jr.;RB40
107;Jared Goff;QB15
108;Sterling Shepard;WR43
109;David Njoku;TE11
110;Patrick Mahomes II;QB16
111;Aaron Jones r.;RB41
112;Nick Chubb;RB42
113;Kelvin Benjamin;WR44
114;C.J. Anderson;RB43
115;Kenny Stills;WR45
116;Jack Doyle ;TE12
117;James White;RB44
118;Calvin Ridley;WR46
119;DeVante Parker;WR47
121;Allen Hurns;WR48
122;Alfred Morris;RB45
123;Mike Williams;WR49
124;Devontae Booker;RB46
125;Matt Breida ;RB47
127;Alex Smith ;QB17
128;DJ Moore;WR50
129;George Kittle;TE13
130;Latavius Murray;RB48
131;Keelan Cole Sr.;WR51
132;Corey Clement;RB49
133;Ty Montgomery;RB50
134;Tyler Eifert ;TE14
135;Derek Carr;QB18
136;Dak Prescott;QB19
137;Marcus Mariota;QB20
139;Bilal Powell ;RB51
141;LeGarrette Blount;RB52
142;Michael Gallup;WR52
143;Kenny Golladay;WR53
144;Giovani Bernard;RB53
145;Josh Doctson;WR54
147;.J. Howard;TE15
148;Tyler Lockett;WR55
149;Jordan Wilkins;RB54
151;Mohamed Sanu Sr.;WR56
152;Jameis Winston;QB21
153;James Conner;RB55
156;Doug Martin;RB56
158;John Brown;WR57
160;Eli Manning;QB22
161;Chris Godwin;WR58
162;Anthony Miller;WR59
164;Austin Ekeler;RB57
165;Rishard Matthews;WR60
167;Eric Ebron;TE16
168;D'Onta Foreman;RB58
169;Dede Westbrook;WR61
174;Geronimo Allison ;WR62
175;Tyrell Williams;WR63
176;Mitchell Trubisky;QB23
178;Cameron Meredith ;WR64
179;Andy Dalton;QB24
180;Case Keenum;QB25
181;Spencer Ware;RB59
182;Courtland Sutton;WR65
183;Frank Gore ;RB60
184;Benjamin Watson;TE17
187;Theo Riddick;RB61
189;DeSean Jackson;WR66
190;Austin Seferian-Jenkins;TE18
192;Ricky Seals-Jones;TE19
