Rank;Player;POS
1;Christian McCaffrey;RB1
2;Justin Jefferson;WR1
3;Austin Ekeler;RB2
4;Ja'Marr Chase;WR2
5;Travis Kelce;TE1
6;Tyreek Hill;WR3
7;Bijan Robinson;RB3
8;Saquon Barkley;RB4
9;Nick Chubb;RB5
10;Stefon Diggs;WR4
11;CeeDee Lamb;WR5
12;Patrick Mahomes II;QB1
13;A.J. Brown;WR6
14;Derrick Henry;RB6
15;Josh Jacobs;RB7
16;Tony Pollard;RB8
17;Davante Adams;WR7
18;Cooper Kupp;WR8
19;Amon-Ra St. Brown;WR9
20;Josh Allen;QB2
21;Garrett Wilson;WR10
22;Jalen Hurts;QB3
23;Najee Harris;RB9
24;Jaylen Waddle;WR11
25;Chris Olave;WR12
26;Travis Etienne Jr.;RB10
27;DeVonta Smith;WR13
28;Mark Andrews;TE2
29;Rhamondre Stevenson;RB11
30;Joe Mixon;RB12
31;Jahmyr Gibbs;RB13
32;Lamar Jackson;QB4
33;Tee Higgins;WR14
34;Joe Burrow;QB5
35;Calvin Ridley;WR15
36;DK Metcalf;WR16
37;Deebo Samuel Sr.;WR17
38;Kenneth Walker III;RB14
39;Dameon Pierce;RB15
40;Aaron Jones Sr.;RB16
41;Justin Herbert;QB6
42;Amari Cooper;WR18
43;Keenan Allen;WR19
44;Justin Fields;QB7
45;Breece Hall;RB17
46;T.J. Hockenson;TE3
47;J.K. Dobbins;RB18
48;Miles Sanders;RB19
49;DJ Moore;WR20
50;George Kittle;TE4
51;Alexander Mattison;RB20
52;Darren Waller;TE5
53;Terry McLaurin;WR21
54;DeAndre Hopkins;WR22
55;Trevor Lawrence;QB8
56;Jonathan Taylor;RB21
57;Cam Akers;RB22
58;Christian Watson;WR23
59;Javonte Williams;RB23
60;James Cook;RB24
61;Rachaad White;RB25
62;James Conner;RB26
63;Mike Williams;WR24
64;Alvin Kamara;RB27
65;Dalvin Cook;RB28
66;Drake London;WR25
67;Brandon Aiyuk;WR26
68;D'Andre Swift;RB29
69;Chris Godwin;WR27
70;Dallas Goedert;TE6
71;Kyle Pitts;TE7
72;Tyler Lockett;WR28
73;Christian Kirk;WR29
74;Isiah Pacheco;RB30
75;George Pickens;WR30
76;David Montgomery;RB31
77;Diontae Johnson;WR31
78;Mike Evans;WR32
79;Jerry Jeudy;WR33
80;Michael Pittman Jr.;WR34
81;AJ Dillon;RB32
82;Deshaun Watson;QB9
83;Evan Engram;TE8
84;Jordan Addison;WR35
85;Marquise Brown;WR36
86;Khalil Herbert;RB33
87;Jahan Dotson;WR37
88;Dak Prescott;QB10
89;Antonio Gibson;RB34
90;Pat Freiermuth;TE9
91;Jaxon Smith-Njigba;WR38
92;Brian Robinson Jr.;RB35
93;Tua Tagovailoa;QB11
94;David Njoku;TE10
95;Jamaal Williams;RB36
96;Brandin Cooks;WR39
97;Gabe Davis;WR40
98;Zach Charbonnet;RB37
99;Aaron Rodgers;QB12
100;Courtland Sutton;WR41
101;Zay Flowers;WR42
103;Michael Thomas;WR43
104;Samaje Perine;RB38
105;Kirk Cousins;QB13
107;Rashaad Penny;RB39
108;Anthony Richardson;QB14
109;De'Von Achane;RB40
110;Dalton Kincaid;TE11
111;Kadarius Toney;WR44
112;JuJu Smith-Schuster;WR45
113;Odell Beckham Jr.;WR46
114;Raheem Mostert;RB41
115;Daniel Jones;QB15
116;Skyy Moore;WR47
118;Treylon Burks;WR48
119;Elijah Mitchell;RB42
120;Elijah Moore;WR49
121;Jaylen Warren;RB43
122;Quentin Johnston;WR50
123;Geno Smith;QB16
124;Ezekiel Elliott;RB44
125;Dalton Schultz;TE12
126;Damien Harris;RB45
128;Jared Goff;QB17
129;Tank Bigsby;RB46
130;Adam Thielen;WR51
131;Jerick McKinnon;RB47
132;Allen Lazard;WR52
133;Cole Kmet;TE13
134;Tyler Allgeier;RB48
137;Tyler Higbee;TE14
138;Chig Okonkwo;TE15
139;Romeo Doubs;WR53
142;D'Onta Foreman;RB49
144;Rashod Bateman;WR54
145;Russell Wilson;QB18
146;Jameson Williams;WR55
147;Sam LaPorta;TE16
150;Roschon Johnson;RB50
151;Derek Carr;QB19
152;Kenneth Gainwell;RB51
153;Kareem Hunt;RB52
154;Jalin Hyatt;WR56
155;Brock Purdy;QB20
157;Juwan Johnson;TE17
158;Devin Singletary;RB53
159;Deuce Vaughn;RB54
160;Kenny Pickett;QB21
161;Nico Collins;WR57
162;Jordan Love;QB22
163;Jakobi Meyers;WR58
164;Tyler Boyd;WR59
165;Tyjae Spears;RB55
166;Kendre Miller;RB56
167;Marvin Mims Jr.;WR60
168;Greg Dulcich;TE18
169;Darnell Mooney;WR61
171;Deon Jackson;RB57
172;Rashee Rice;WR62
174;Bryce Young;QB23
176;Chuba Hubbard;RB58
177;Luke Musgrave;TE19
180;Jonathan Mingo;WR63
181;Zay Jones;WR64
183;Van Jefferson;WR65
185;Sam Howell;QB24
186;Rondale Moore;WR66
187;Matthew Stafford;QB25
188;Gerald Everett;TE20
189;Donovan Peoples-Jones;WR67
192;Zack Moss;RB59
193;C.J. Stroud;QB26
194;Gus Edwards;RB60
196;Kyler Murray;QB27
197;K.J. Osborn;WR68
199;Taysom Hill;TE21
200;Jimmy Garoppolo;QB28
202;Clyde Edwards-Helaire;RB61
203;Michael Gallup;WR69
204;Joshua Kelley;RB62
205;Cordarrelle Patterson;RB63
206;Jake Ferguson;TE22
209;Zamir White;RB64
210;Alec Pierce;WR70
211;Ty Chandler;RB65
212;Irv Smith Jr.;TE23
213;Jayden Reed;WR71
214;Marquez Valdes-Scantling;WR72
