Rank;Player;POS
160;Cooper Kupp;WR56
161;Cameron Brate;TE18
164;Austin Hooper;TE19
166;Tyler Lockett;WR57
168;Mohamed Sanu Sr.;WR58
169;John Ross;WR59
170;Julius Thomas;TE20
171;D'Onta Foreman;RB53
173;Antonio Gates;TE21
174;Kenny Stills;WR60
176;Giovani Bernard;RB54
177;Danny Amendola;WR61
178;Wendell Smallwood;RB55
179;Robbie Chosen;WR62
181;Evan Engram;TE22
182;James Conner;RB56
183;Dion Lewis;RB57
184;Alvin Kamara;RB58
186;Kenny Golladay;WR63
187;Deshaun Watson;QB21
188;DeAndre Washington;RB59
189;Jay Cutler;QB22
190;Marlon Mack;RB60
191;Kendall Wright;WR64
194;Sam Bradford;QB23
196;Josh Doctson;WR65
199;Jared Cook;TE23
202;Spencer Ware;RB61
203;Julian Edelman;WR66
205;Torrey Smith;WR67
206;Benjamin Watson;TE24
207;Chris Carson;RB62
208;J.J. Nelson;WR68
209;Joe Flacco;QB24
210;Jonathan Williams;RB63
211;Cameron Meredith;WR69
212;Charcandrick West;RB64
213;Breshad Perriman;WR70
214;Mike Williams;WR71
215;Alex Smith;QB25
216;Charles Sims;RB65
217;Jesse James;TE25
219;C.J. Fiedorowicz;TE26
221;Shane Vereen;RB66
222;Marqise;WR72
225;Joe Williams;RB67
227;Allen Hurns;WR73
229;Jalen Richard;RB68
230;Vance McDonald;TE27
231;Tavon Austin;WR74
232;Chris Thompson;RB69
234;David Njoku;TE28
235;Devin Funchess;WR75
236;Charles Clay;TE29
238;Blake Bortles;QB26
239;Malcolm Mitchell;WR76
241;Devontae Booker;RB70
242;Tarik Cohen;RB71
243;Alfred Morris;RB72
245;Matt Breida;RB73
246;T.J. Yeldon;RB74
247;Gerald Everett;TE30
249;De’Angelo Henderson Sr;RB75
250;Trevor Siemian;QB27
251;Paul Richardson Jr.;WR77
252;Mitchell Trubisky;QB28
255;ArDarius Stewart;WR78
256;Dwayne Allen;TE31
257;Orleans Darkwa;RB76
259;William Fuller;WR79
260;DeShone Kizer;QB29
261;Brandon LaFell;WR80
262;Curtis Samuel;WR81
263;Branden Oliver;RB77
265;Robert Woods;WR82
266;Zach Zenner;RB78
267;Chris Ivory;RB79
268;Kerwynn Williams;RB80
269;Zach Miller;TE32
270;Kyle Juszczyk;RB81
271;Kenneth Dixon;RB82
272;Kenyan Drake;RB83
273;Robert Turbin;RB84
275;Travis Benjamin;WR83
276;Chris Conley;WR84
277;Tim Hightower;RB85
278;Dede Westbrook;WR85
279;Jaron Brown;WR86
280;Nelson Agholor;WR87
281;Quincy Enunwa;WR88
282;Jared Goff;QB30
283;Austin Seferian-Jenkins;TE33
284;Brian Hoyer;QB31
285;Jermaine Kearse;WR89
286;Brandon Coleman;WR90
287;Terrance Williams;WR91
288;Chris Godwin;WR92
289;Aaron Jones Sr.;RB86
290;Richard Rodgers;TE34
291;Ryan Mathews;RB87
292;C.J. Spiller;RB88
293;Jamize Olawale;RB89
294;Cordarrelle Patterson;RB90
296;JuJu Smith-Schuster;WR93
297;Jerick McKinnon;RB91
298;Josh McCown;QB32
299;Carlos Henderson;WR94
300;Victor Cruz;WR95
302;Donnel Pumphrey;RB92
303;Bruce Ellington;WR96
304;Wayne Gallman Jr.;RB93
305;Patrick Mahomes II;QB33
306;Jimmy Garoppolo;QB34
307;Jermaine Gresham;TE35
313;Chris Johnson;RB94
314;Tyler Higbee;TE36
315;Ryan Tannehill;QB35
316;Laquon Treadwell;WR97
317;Tyler Boyd;WR98
318;Matt Jones;RB95
319;Geronimo Allison;WR99
320;Andre Ellington;RB96
321;Luke Willson;TE37
322;George Kittle;TE38
326;Josh Gordon;WR100
327;Teddy Bridgewater;QB36
328;Markus Wheaton;WR101
329;Braxton Miller;WR102
330;Colin Kaepernick;QB37
333;Jeremy Kerley;WR103
334;Mike Tolbert;RB97
335;Javorius Allen;RB98
336;Ladarius Green;TE39
337;Erik Swoope;TE40
338;Tajae Sharpe;WR104
340;Ryan Switzer;WR105
341;Glenn Gronkowski;RB99
344;Anquan Boldin;WR106
345;Mike Glennon;QB38
346;Michael Floyd;WR107
347;Kamar Aiken;WR108
348;Tom Savage;QB39
349;Dennis Pitta;TE41
350;Daniel Lasco;RB100
351;Phillip Dorsett II;WR109
352;Tim Tebow;TE42
353;Marquise Goodwin;WR110
354;Virgil Green;TE43
355;Brock Osweiler;QB40
356;Eli Rogers;WR111
357;Matt Barkley;QB41
358;Cody Kessler;QB42
359;Peyton Hillis;RB101
360;Kenjon Barner;RB102
361;Damien Williams;RB103
362;Dontrelle Inman;WR112
363;DeAngelo Williams;RB104
364;Christine Michael;RB105
365;James Starks;RB106
366;Vernon Davis;TE44
367;Paxton Lynch;QB43
368;Seth Roberts;WR113
369;Cameron Artis-Payne;RB107
370;Shaun Draughn;RB108
371;Seth DeValve;TE45
372;Adam Humphries;WR114
373;Mack Hollins;WR115
374;Rashad Jennings;RB109
375;Matt Moore;QB44
376;Adam Shaheen;TE46
377;Malcolm Brown;RB110
378;Alfred Blue;RB111
379;Brice Butler;WR116
380;Jaelen Strong;WR117
382;Charone Peake;WR118
384;Fozzy Whittaker;RB112
385;Jerell Adams;TE47
386;Landry Jones;QB45
387;Austin Carr;WR119
388;Maxx Williams;TE48
390;Nick Foles;QB46
391;Jake Butt;TE49
392;T.J. Logan;RB113
393;Chad Hansen;WR120
394;Matt Schaub;QB47
395;Jacob Hollister;TE50
396;Lance Kendricks;TE51
397;Bennie Fowler;WR121
399;Knile Davis;RB114
400;Lance Dunbar;RB115
401;Josh Reynolds;WR122
402;Malcom Floyd;WR123
403;Justin Hardy;WR124
