Rank;Player;POS
1;David Johnson;RB1
2;Le’Veon Bell;RB2
3;Antonio Brown;WR1
4;Julio Jones;WR2
5;LeSean McCoy;RB3
6;Odell Beckham Jr.;WR3
7;Devonta Freeman;RB4
8;Melvin Gordon;RB5
9;Mike Evans;WR4
10;A.J. Green;WR5
11;DeMarco Murray;RB6
12;Jordy Nelson;WR6
13;Jay Ajayi;RB7
14;Ezekiel Elliott;RB8
15;Jordan Howard;RB9
16;Aaron Rodgers;QB1
17;Michael Thomas;WR7
18;Todd Gurley;RB10
19;Dez Bryant;WR8
20;Rob Gronkowski;TE1
21;Tom Brady;QB2
22;Brandin Cooks;WR9
23;Amari Cooper;WR10
24;Leonard Fournette;RB11
25;Doug Baldwin;WR11
26;Marshawn Lynch;RB12
27;Christian McCaffrey;RB13
28;T.Y. Hilton;WR12
29;Lamar Miller;RB14
30;Isaiah Crowell;RB15
31;Drew Brees;QB3
32;DeAndre Hopkins;WR13
33;Dalvin Cook;RB16
34;Terrelle Pryor Sr.;WR14
35;Carlos Hyde;RB17
36;Travis Kelce;TE2
37;Demaryius Thomas;WR15
38;Alshon Jeffery;WR16
39;Joe Mixon;RB18
40;Matt Ryan;QB4
41;Keenan Allen;WR17
42;Ty Montgomery;RB19
43;Davante Adams;WR18
44;Kareem Hunt;RB20
45;Michael Crabtree;WR19
46;C.J. Anderson;RB21
47;Greg Olsen;TE3
48;Allen Robinson II;WR20
49;Tyreek Hill;WR21
50;Mark Ingram;RB22
51;Jordan Reed;TE4
52;Kelvin Benjamin;WR22
53;Jimmy Graham;TE5
54;Russell Wilson;QB5
55;Jarvis Landry;WR23
56;Martavis Bryant;WR24
57;Golden Tate;WR25
58;Larry Fitzgerald;WR26
59;Bilal Powell;RB23
60;Sammy Watkins;WR27
61;Ameer Abdullah;RB24
62;Mike Gillislee;RB25
63;Tevin Coleman;RB26
64;Emmanuel Sanders;WR28
65;Stefon Diggs;WR29
66;Doug Martin;RB27
67;Marcus Mariota;QB6
68;Tyler Eifert;TE6
69;Cam Newton;QB7
70;Adrian Peterson;RB28
71;Jameis Winston;QB8
72;Jamison Crowder;WR30
73;Frank Gore;RB29
74;Brandon Marshall;WR31
75;Derek Carr;QB9
76;Kyle Rudolph;TE7
77;Kirk Cousins;QB10
78;Delanie Walker;TE8
79;Robert Kelley;RB30
80;DeVante Parker;WR32
81;LeGarrette Blount;RB31
82;Martellus Bennett;TE9
83;Paul Perkins;RB32
84;Andrew Luck;QB11
85;Derrick Henry;RB33
86;Danny Woodhead;RB34
87;Willie Snead;WR33
88;Pierre Garcon;WR34
89;Zach Ertz;TE10
90;Eddie Lacy;RB35
91;DeSean Jackson;WR35
92;Dak Prescott;QB12
93;Randall Cobb;WR36
94;Ben Roethlisberger;QB13
95;Eric Decker;WR37
96;Terrance West;RB36
97;Donte Moncrief;WR38
98;Jeremy Maclin;WR39
99;Jonathan Stewart;RB37
101;Thomas Rawls;RB38
102;Darren McFadden;RB39
103;Theo Riddick;RB40
104;Matthew Stafford;QB14
106;Hunter Henry;TE11
107;Tyrell Williams;WR40
109;Chris Hogan;WR41
110;Philip Rivers;QB15
111;Corey Coleman;WR42
112;Corey Davis;WR43
113;Matt Forte;RB41
114;Samaje Perine;RB42
115;Duke Johnson Jr.;RB43
116;John Brown;WR44
117;Adam Thielen;WR45
118;Kenny Britt;WR46
119;James White;RB44
120;Marvin Jones Jr.;WR47
121;Mike Wallace;WR48
122;Jack Doyle;TE12
125;Eric Ebron;TE13
126;Rishard Matthews;WR49
127;Jacquizz Rodgers;RB45
129;Jeremy Hill;RB46
131;Jamaal Williams;RB47
132;Eli Manning;QB16
133;Jamaal Charles;RB48
134;Latavius Murray;RB49
135;Ted Ginn Jr.;WR50
137;Darren Sproles;RB50
139;C.J. Prosise;RB51
142;Jason Witten;TE14
143;Carson Wentz;QB17
144;Jordan Matthews;TE15
145;Andy Dalton;QB18
147;Sterling Shepard;WR51
148;O.J. Howard;TE16
149;Tyrod Taylor;QB19
150;Carson Palmer;QB20
151;Zay Jones;WR52
152;Cole Beasley;WR53
153;Rex Burkhead;RB52
155;Coby Fleener;TE17
156;Kevin White;WR54
159;Taylor Gabriel;WR55
