Rank;Player;POS
1;Christian McCaffrey;RB1
2;Tyreek Hill;WR1
3;CeeDee Lamb;WR2
4;Justin Jefferson;WR3
5;Bijan Robinson;RB2
6;Breece Hall;RB3
7;Ja'Marr Chase;WR4
8;Amon-Ra St. Brown;WR5
9;A.J. Brown;WR6
10;Saquon Barkley;RB4
11;Jonathan Taylor;RB5
12;Jahmyr Gibbs;RB6
13;Garrett Wilson;WR7
14;Puka Nacua;WR8
15;Marvin Harrison Jr.;WR9
16;Travis Etienne Jr.;RB7
17;Kyren Williams;RB8
18;Derrick Henry;RB9
19;Josh Jacobs;RB10
20;De'Von Achane;RB11
21;Drake London;WR10
22;Davante Adams;WR11
23;Josh Allen;QB1
24;Isiah Pacheco;RB12
25;Chris Olave;WR12
26;Deebo Samuel Sr.;WR13
27;Nico Collins;WR14
28;Travis Kelce;TE1
29;Jalen Hurts;QB2
30;Sam LaPorta;TE2
31;Patrick Mahomes II;QB3
32;James Cook;RB13
33;Rachaad White;RB14
34;Brandon Aiyuk;WR15
35;Michael Pittman Jr.;WR16
36;Cooper Kupp;WR17
37;Mike Evans;WR18
38;Lamar Jackson;QB4
39;Jaylen Waddle;WR19
40;DJ Moore;WR20
41;Stefon Diggs;WR21
42;DK Metcalf;WR22
43;Kenneth Walker III;RB15
44;Joe Mixon;RB16
45;Alvin Kamara;RB17
46;Malik Nabers;WR23
47;DeVonta Smith;WR24
48;Trey McBride;TE3
49;Dalton Kincaid;TE4
50;Mark Andrews;TE5
51;C.J. Stroud;QB5
52;Anthony Richardson;QB6
53;Aaron Jones Sr.;RB18
54;Amari Cooper;WR25
55;D'Andre Swift;RB19
56;James Conner;RB20
57;George Pickens;WR26
58;Rhamondre Stevenson;RB21
59;Tee Higgins;WR27
60;Zay Flowers;WR28
61;Tank Dell;WR29
62;George Kittle;TE6
63;Terry McLaurin;WR30
64;Kyle Pitts;TE7
65;David Montgomery;RB22
66;Kyler Murray;QB7
67;Rashee Rice;WR31
68;Zamir White;RB23
69;Najee Harris;RB24
70;Christian Kirk;WR32
71;Joe Burrow;QB8
72;Evan Engram;TE8
73;Keenan Allen;WR33
74;Jordan Love;QB9
75;Chris Godwin;WR34
76;Raheem Mostert;RB25
77;Javonte Williams;RB26
78;Dak Prescott;QB10
79;Tony Pollard;RB27
80;Calvin Ridley;WR35
81;Jayden Reed;WR36
82;Xavier Worthy;WR37
83;Jake Ferguson;TE9
84;Devin Singletary;RB28
85;Zack Moss;RB29
86;Diontae Johnson;WR38
87;Jaylen Warren;RB30
88;David Njoku;TE10
89;Rome Odunze;WR39
90;Brock Bowers;TE11
91;Brian Robinson Jr.;RB31
92;Jonathon Brooks;RB32
93;Austin Ekeler;RB33
94;Nick Chubb;RB34
95;Jaxon Smith-Njigba;WR40
96;Caleb Williams;QB11
97;Brock Purdy;QB12
98;Christian Watson;WR41
99;Ladd McConkey;WR42
100;DeAndre Hopkins;WR43
101;Jordan Addison;WR44
102;Jayden Daniels;QB13
103;Jerome Ford;RB35
104;Tyjae Spears;RB36
105;Chase Brown;RB37
106;Marquise Brown;WR45
107;Tua Tagovailoa;QB14
108;Keon Coleman;WR46
109;Jameson Williams;WR47
110;Courtland Sutton;WR48
111;Jared Goff;QB15
112;Brian Thomas Jr.;WR49
113;Ezekiel Elliott;RB38
114;Gus Edwards;RB39
115;Trey Benson;RB40
116;Blake Corum;RB41
117;Dallas Goedert;TE12
118;Chuba Hubbard;RB42
119;Romeo Doubs;WR50
120;J.K. Dobbins;RB43
121;Curtis Samuel;WR51
122;Trevor Lawrence;QB16
123;Khalil Shakir;WR52
124;T.J. Hockenson;TE13
125;Justin Herbert;QB17
126;Dalton Schultz;TE14
127;Zach Charbonnet;RB44
128;Rico Dowdle;RB45
129;Pat Freiermuth;TE15
130;Joshua Palmer;WR53
132;Cole Kmet;TE16
133;Ty Chandler;RB46
134;Tyler Lockett;WR54
135;Kirk Cousins;QB18
137;Jakobi Meyers;WR55
138;Jerry Jeudy;WR56
139;Aaron Rodgers;QB19
140;Jaylen Wright;RB47
141;Tyler Allgeier;RB48
142;Mike Williams;WR57
144;Jaleel McLaughlin;RB49
145;Adonai Mitchell;WR58
146;Matthew Stafford;QB20
147;Gabe Davis;WR59
148;Taysom Hill;TE17
149;MarShawn Lloyd;RB50
150;Antonio Gibson;RB51
151;Rashid Shaheed;WR60
152;Brandin Cooks;WR61
153;Dontayvion Wicks;WR62
156;Luke Musgrave;TE18
157;Ray Davis;RB52
158;Baker Mayfield;QB21
160;Adam Thielen;WR63
161;Xavier Legette;WR64
162;Kimani Vidal;RB53
164;Bucky Irving;RB54
167;Ja'Lynn Polk;WR65
168;Braelon Allen;RB55
169;Darnell Mooney;WR66
171;Deshaun Watson;QB22
173;Michael Wilson;WR67
174;Josh Downs;WR68
175;Will Levis;QB23
176;Tyrone Tracy Jr.;RB56
177;Khalil Herbert;RB57
179;Geno Smith;QB24
180;Isaiah Likely;TE19
181;Tyler Conklin;TE20
183;Hunter Henry;TE21
187;Quentin Johnston;WR69
188;Jordan Mason;RB58
189;Jahan Dotson;WR70
191;DeMario Douglas;WR71
192;Bo Nix;QB25
193;Bryce Young;QB26
194;Cade Otton;TE22
195;Chig Okonkwo;TE23
196;Derek Carr;QB27
197;Tank Bigsby;RB59
198;Justin Fields;QB28
199;Daniel Jones;QB29
201;Ben Sinnott;TE24
202;Drake Maye;QB30
203;Russell Wilson;QB31
204;Alexander Mattison;RB60
205;Troy Franklin;WR72
207;Jermaine Burton;WR73
210;Sam Darnold;QB32
211;Audric Estime;RB61
213;Luke McCaffrey;WR74
214;Dameon Pierce;RB62
215;Marvin Mims Jr.;WR75
216;Roschon Johnson;RB63
